Model Name,Accuracy,Recall,Precision,Train Time,Test Time
LogisticRegression + StandardScaler + train_test_split,0.8549618320610687,0.8552631578947368,0.8904109589041096,1.8533995151519775,0.013617277145385742
LogisticRegression + StandardScaler + cross_val_score,0.8097845234572077,0.7957753898019385,0.8307043475586019,1.541521469751994,0.024353901545206707
RandomForestClassifier + StandardScaler + train_test_split,0.8473282442748091,0.868421052631579,0.868421052631579,8.828827381134033,0.026323556900024414
RandomForestClassifier + StandardScaler + cross_val_score,0.8558181485082935,0.8668879056047197,0.8600471174538452,7.282963275909424,0.04641461372375488
GaussianNB + StandardScaler + train_test_split,0.7022900763358778,0.618421052631579,0.8245614035087719,0.33858299255371094,0.1226191520690918
GaussianNB + StandardScaler + cross_val_score,0.685564903676771,0.6478086809945217,0.7191832522397837,0.3482200304667155,0.2132112979888916
MLPClassifier + StandardScaler + train_test_split,0.8091603053435115,0.75,0.9047619047619048,40.06497597694397,0.012621641159057617
MLPClassifier + StandardScaler + cross_val_score,0.708479544525712,0.6868415507796038,0.7260402139826599,14.88421924908956,0.03089420000712077
LogisticRegression + MinMaxScaler + train_test_split,0.8778625954198473,0.881578947368421,0.9054054054054054,3.1779463291168213,0.018062591552734375
LogisticRegression + MinMaxScaler + cross_val_score,0.8220380783269213,0.8310946059839864,0.8273328871207367,2.604183832804362,0.022145748138427734
RandomForestClassifier + MinMaxScaler + train_test_split,0.8625954198473282,0.881578947368421,0.881578947368421,8.790266990661621,0.030020952224731445
RandomForestClassifier + MinMaxScaler + cross_val_score,0.8450584140137263,0.8579329962073325,0.8493386243386243,7.232966184616089,0.04829859733581543
GaussianNB + MinMaxScaler + train_test_split,0.7022900763358778,0.618421052631579,0.8245614035087719,0.34958815574645996,0.1216123104095459
GaussianNB + MinMaxScaler + cross_val_score,0.685564903676771,0.6478086809945217,0.7191832522397837,0.35712917645772296,0.2253077824910482
MLPClassifier + MinMaxScaler + train_test_split,0.4198473282442748,0.0,0.0,2.6554665565490723,0.012157440185546875
MLPClassifier + MinMaxScaler + cross_val_score,0.4923476937386378,0.3333333333333333,0.17204301075268816,22.25161298116048,0.03272406260172526
